shipment_id,cust_id,origin_city,dest_city,dest_address,ship_date,delivery_date,status,failure_reason,weight_kg,service_tier
SH2510238,"0004631",Aarhus,Antwerp,154 Main St,25/01/2025,25/07/2025,delivered,N/A,82.29,standard
SH2510239,"0004029",Utrecht,Bilbao,175 Harbour Rd,04/04/2025,06/11/2025,delivered,-,46.63,economy
SH2510240,"0004388",Bilbao,Manchester,110 Harbour Rd,07/04/2025,12/02/2025,delivered,-,NULL,express_am
SH2510241,"0005347",Turin,Leeds,12 Harbour Rd,14/04/2025,25/05/2025,delivered,nan,71.71,express
SH2510242,"0004194",Utrecht,Manchester,174 Kingsway,06/06/2025,25/11/2025,delivered,-,nan,express_am
SH2510243,"0005311",Porto,Rotterdam,60 Main St,25/10/2025,10/02/2025,failed,recipient_absent,56.28,economy
SH2510244,"0004413",Lyon,Manchester,53 Main St,24/04/2025,15/10/2025,delivered,NULL,25.53,standard
SH2510245,"0004849",Gdansk,Rotterdam,59 Dock Approach,08/06/2025,NULL,returned,NULL,55.23,economy
SH2510246,"0005289",Rotterdam,Hamburg,223 Elm Grove,07/02/2025,21/01/2025,delivered,NULL,8.76,express
SH2510247,"0004160",Dublin,Aarhus,80 Kingsway,07/12/2025,14/04/2025,delivered,N/A,26.18,express
SH2510248,"0004985",Hamburg,Leeds,102 Bridge St,16/03/2025,14/08/2025,returned,-,68.93,-
SH2510249,"0004875",Hamburg,Orléans,153 Kingsway,24/09/2025,09/03/2025,delivered,-,25.99,express_am
SH2510250,"0004279",Malmo,Bilbao,40 Station Rd,01/01/2025,24/09/2025,failed,customs_hold,83.81,economy
SH2510251,"0004630",Hamburg,Dublin,227 Main St,13/02/2025,06/10/2025,failed,damaged_in_transit,69.91,economy
SH2510252,"0005000",Leeds,Antwerp,167 Bridge St,24/07/2025,08/04/2025,delivered,,63.27,economy
SH2510253,"0005394",Lyon,Turin,64 Kingsway,04/01/2025,21/02/2025,failed,customs_hold,64.05,standard
SH2510254,"0004386",Dublin,Marseille,213 Bridge St,23/05/2025,17/05/2025,returned,-,53.25,standard
SH2510255,"0005172",Leeds,Lyon,69 Station Rd,13/12/2025,NULL,failed,address_incorrect,9.22,express_am
SH2510256,"0005340",Gdansk,Dublin,44 Kingsway,06/06/2025,05/12/2025,delivered,nan,85.86,express
SH2510257,"0004120",Marseille,Bilbao,67 Bridge St,21/08/2025,04/10/2025,delivered,,26.88,economy
SH2510258,"0004060",Porto,Malmo,125 Harbour Rd,02/01/2025,25/05/2025,returned,nan,NULL,standard
SH2510259,"0005065",Turin,Malmo,122 Dock Approach,14/10/2025,12/06/2025,delivered,N/A,74.02,express_am
SH2510260,"0004117",Leeds,Utrecht,"207 Harbour Rd, Unit 1",28/08/2025,13/12/2025,delivered,,54.67,economy
SH2510261,"0004509",Leeds,Aarhus,159 Elm Grove,14/09/2025,N/A,delivered,N/A,79.11,economy
SH2510262,"0004478",Malmo,Manchester,190 Harbour Rd,14/06/2025,22/08/2025,delivered,-,26.95,express
SH2510263,"0005171",Antwerp,Lyon,128 Harbour Rd,27/05/2025,18/11/2025,failed,recipient_absent,81.18,express_am
SH2510264,"0004493",Porto,Bilbao,44 Harbour Rd,14/02/2025,01/12/2025,delivered,-,69.47,economy
SH2510265,"0005373",Bremen,Lyon,237 Elm Grove,26/02/2025,11/12/2025,in_transit,nan,6.32,express_am
SH2510266,"0005150",Dublin,Porto,58 Mill Lane,10/02/2025,nan,delivered,,52.06,economy
SH2510267,"0005181",Rotterdam,Gdansk,16 Station Rd,14/07/2025,25/06/2025,returned,NULL,47.28,express
SH2510268,"0004018",Aarhus,Utrecht,38 Mill Lane,16/04/2025,15/11/2025,delivered,NULL,67.74,standard
SH2510269,"0004632",Bremen,Turin,218 Elm Grove,27/11/2025,16/04/2025,failed,address_incorrect,88.80,express
SH2510270,"0004460",Antwerp,Marseille,220 Elm Grove,13/12/2025,27/05/2025,delivered,,49.81,express_am
SH2510271,"0004801",Manchester,Hamburg,136 Mill Lane,23/05/2025,23/04/2025,failed,address_incorrect,12.28,standard
SH2510272,"0005453",Gdansk,Aarhus,168 Kingsway,05/10/2025,23/08/2025,delivered,NULL,20.13,standard
SH2510273,"0005178",Bremen,Lyon,97 Bridge St,27/11/2025,-,delivered,,11.06,economy
SH2510274,"0004304",Manchester,Porto,9 Harbour Rd,13/04/2025,10/08/2025,delivered,-,70.33,standard
SH2510275,"0005331",Manchester,Turin,162 Elm Grove,01/06/2025,-,returned,nan,20.74,express_am
SH2510276,"0004193",Marseille,Manchester,124 Bridge St,19/05/2025,04/03/2025,returned,nan,17.14,standard
SH2510277,"0005098",Malmo,Hamburg,133 Harbour Rd,22/04/2025,06/02/2025,returned,NULL,0.98,economy
SH2510278,"0004263",Bilbao,Marseille,23 Mill Lane,03/01/2025,17/02/2025,in_transit,NULL,38.57,standard
SH2510279,"0004094",Gdansk,Aarhus,36 Elm Grove,11/12/2025,12/09/2025,in_transit,NULL,62.41,standard
SH2510280,"0004385",Lyon,Gdansk,220 Station Rd,20/03/2025,07/09/2025,delivered,NULL,66.12,economy
SH2510281,"0005330",Marseille,Manchester,117 Harbour Rd,22/05/2025,23/07/2025,delivered,,57.16,express
SH2510282,"0005154",Marseille,Dublin,211 Kingsway,26/06/2025,nan,delivered,,24.81,express_am
SH2510283,"0005311",Hamburg,Leeds,233 Dock Approach,05/05/2025,-,delivered,-,86.16,standard
SH2510284,"0005491",Gdansk,Malmo,25 Dock Approach,19/12/2025,18/05/2025,delivered,,15.87,express_am
SH2510285,"0005388",Manchester,Malmo,152 Kingsway,01/05/2025,17/11/2025,returned,NULL,13.34,economy
SH2510286,"0005485",Leeds,Porto,174 Bridge St,15/12/2025,15/03/2025,failed,site_access_denied,26.31,express
SH2510287,"0004178",Gdansk,Dublin,198 Dock Approach,21/02/2025,03/02/2025,delivered,NULL,52.28,economy
SH2510288,"0005009",Rotterdam,Dublin,174 Kingsway,16/08/2025,22/09/2025,in_transit,,36.99,standard
SH2510289,"0005438",Leeds,Porto,190 Main St,15/10/2025,22/03/2025,in_transit,NULL,16.23,express
SH2510290,"0004104",Dublin,Malmo,98 Kingsway,04/06/2025,22/06/2025,in_transit,,26.61,economy
SH2510291,"0005292",Manchester,Bilbao,237 Mill Lane,17/11/2025,15/01/2025,failed,address_incorrect,32.52,economy,depot_2,scan_105
SH2510292,"0004716",Marseille,Manchester,91 Main St,14/02/2025,nan,delivered,-,11.65,express
SH2510293,"0004512",Porto,Malmo,102 Dock Approach,12/05/2025,06/07/2025,delivered,,89.54,express_am
SH2510294,"0004724",Dublin,Rotterdam,92 Station Rd,07/02/2025,02/05/2025,failed,damaged_in_transit,81.59,express
SH2510295,"0005362",Turin,Bremen,108 Elm Grove,16/09/2025,23/11/2025,failed,site_access_denied,65.84,express_am
SH2510296,"0004220",Rotterdam,Lyon,40 Dock Approach,01/09/2025,N/A,failed,site_access_denied,66.87,economy
SH2510297,"0004169",Dublin,Porto,159 Kingsway,17/12/2025,08/03/2025,delivered,N/A,89.98,express_am
SH2510298,"0005446",Bremen,Marseille,49 Kingsway,04/04/2025,NULL,delivered,-,2.09,standard
SH2510299,"0005075",Gdansk,Porto,57 Dock Approach,16/07/2025,17/01/2025,delivered,N/A,10.40,economy
SH2510300,"0004505",Utrecht,Antwerp,47 Main St,02/01/2025,24/11/2025,delivered,-,25.71,express_am
SH2510301,"0005006",Leeds,Utrecht,78 Harbour Rd,22/02/2025,22/01/2025,delivered,N/A,32.95,economy
SH2510302,"0004565",Bilbao,Manchester,23 Harbour Rd,21/03/2025,20/12/2025,in_transit,NULL,17.86,standard
SH2510303,"0005119",Utrecht,Gdansk,186 Elm Grove,18/04/2025,NULL,failed,site_access_denied,64.54,economy
SH2510304,"0004918",Bremen,Dublin,18 Elm Grove,17/07/2025,nan,delivered,NULL,26.57,standard
SH2510305,"0005420",Bilbao,Manchester,127 Harbour Rd,15/03/2025,13/09/2025,failed,customs_hold,55.15,standard
SH2510306,"0004446",Rotterdam,Aarhus,129 Mill Lane,28/05/2025,10/04/2025,in_transit,,NULL,NULL
SH2510307,"0004568",Lyon,Turin,224 Main St,08/11/2025,18/04/2025,returned,N/A,57.44,economy
SH2510308,"0005444",Turin,Lyon,105 Mill Lane,02/06/2025,N/A,delivered,N/A,16.41,standard
SH2510309,"0005409",Manchester,Turin,223 Station Rd,08/08/2025,09/06/2025,returned,-,14.51,express_am
SH2510310,"0004981",Hamburg,Münster,47 Elm Grove,27/03/2025,07/03/2025,returned,NULL,NULL,express
SH2510311,"0005407",Bilbao,Hamburg,37 Harbour Rd,08/07/2025,21/08/2025,delivered,nan,12.86,standard
SH2510312,"0004773",Manchester,Rotterdam,29 Main St,02/11/2025,08/03/2025,delivered,NULL,84.97,standard
SH2510313,"0004217",Utrecht,Hamburg,52 Kingsway,25/08/2025,15/10/2025,delivered,N/A,43.60,economy
SH2510314,"0004252",Rotterdam,Antwerp,27 Mill Lane,17/02/2025,NULL,delivered,NULL,38.94,economy
SH2510315,"0005401",Manchester,Bremen,126 Kingsway,08/02/2025,10/02/2025,in_transit,N/A,11.15,standard
SH2510316,"0005238",Lyon,Marseille,110 Dock Approach,06/10/2025,14/11/2025,returned,N/A,56.73,standard
SH2510317,"0005022",Leeds,Turin,208 Harbour Rd,28/01/2025,25/03/2025,delivered,NULL,35.65,express_am
SH2510318,"0004231",Dublin,Turin,38 Harbour Rd,05/06/2025,25/03/2025,delivered,-,38.64,express_am
SH2510319,"0005303",Utrecht,Lyon,206 Station Rd,14/07/2025,16/09/2025,failed,site_access_denied,48.76,standard
SH2510320,"0004863",Porto,Hamburg,61 Dock Approach,07/01/2025,12/01/2025,delivered,,5.86,express
SH2510321,"0004295",Dublin,Porto,54 Station Rd,24/01/2025,04/03/2025,returned,NULL,-,economy
SH2510322,"0004217",Hamburg,Malmo,215 Kingsway,05/01/2025,,delivered,nan,75.30,express
SH2510323,"0004286",Gdansk,Malmo,106 Dock Approach,26/08/2025,,delivered,,NULL,-
SH2510324,"0005392",Aarhus,Turin,236 Mill Lane,08/12/2025,06/07/2025,delivered,nan,34.48,express
SH2510325,"0004114",Porto,Manchester,48 Harbour Rd,15/12/2025,11/08/2025,failed,customs_hold,15.33,express_am
SH2510326,"0004222",Bremen,Hamburg,93 Dock Approach,08/01/2025,06/05/2025,delivered,NULL,54.24,economy
SH2510327,"0004413",Antwerp,Porto,69 Harbour Rd,19/10/2025,19/01/2025,failed,address_incorrect,4.82,N/A
SH2510328,"0004578",Manchester,Bilbao,81 Bridge St,12/12/2025,23/03/2025,delivered,-,81.19,-
SH2510329,"0004976",Antwerp,Gdansk,42 Kingsway,15/11/2025,NULL,delivered,NULL,69.69,economy
SH2510330,"0004268",Utrecht,Gdansk,93 Bridge St,23/01/2025,13/11/2025,in_transit,nan,7.25,express_am
SH2510331,"0004030",Lyon,Gdansk,141 Harbour Rd,04/08/2025,11/08/2025,delivered,NULL,6.63,economy
SH2510332,"0004366",Aarhus,Turin,122 Mill Lane,21/08/2025,04/03/2025,failed,address_incorrect,33.21,express_am
SH2510333,"0005393",Lyon,Aarhus,"94 Dock Approach, Unit 12",22/02/2025,17/07/2025,returned,,56.36,express
SH2510334,"0005148",Rotterdam,Lyon,219 Harbour Rd,13/05/2025,19/03/2025,delivered,NULL,35.44,standard
SH2510335,"0004959",Aarhus,Bremen,22 Kingsway,04/12/2025,25/07/2025,failed,damaged_in_transit,6.30,express_am
SH2510336,"0004975",Bremen,Turin,117 Main St,05/09/2025,05/08/2025,delivered,nan,3.32,express_am
SH2510337,"0004740",Dublin,Malmo,55 Main St,28/04/2025,25/01/2025,delivered,N/A,57.71,standard
SH2510338,"0004167",Gdansk,Aarhus,224 Bridge St,07/09/2025,09/11/2025,delivered,,81.05,economy
SH2510339,"0004715",Dublin,Malmo,122 Kingsway,14/12/2025,23/06/2025,delivered,nan,70.98,standard
SH2510340,"0005184",Lyon,Utrecht,171 Dock Approach,05/01/2025,05/08/2025,delivered,,71.78,economy
SH2510341,"0004007",Aarhus,Lyon,163 Elm Grove,19/11/2025,02/02/2025,delivered,-,63.18,express_am
SH2510342,"0004429",Bilbao,Rotterdam,95 Dock Approach,10/01/2025,17/05/2025,delivered,-,58.90,express_am
SH2510343,"0005110",Dublin,Utrecht,30 Kingsway,14/08/2025,06/06/2025,delivered,nan,39.73,express_am
SH2510344,"0005437",Bremen,Hamburg,207 Harbour Rd,21/02/2025,20/01/2025,delivered,-,67.99,standard
SH2510345,"0005030",Antwerp,Gdansk,219 Bridge St,08/04/2025,18/08/2025,delivered,-,86.05,express_am
SH2510346,"0005320",Manchester,Rotterdam,96 Station Rd,10/09/2025,22/05/2025,failed,recipient_absent,0.87,NULL
SH2510347,"0004766",Utrecht,Utrecht,44 Bridge St,18/04/2025,07/07/2025,failed,address_incorrect,72.62,express
SH2510348,"0004799",Marseille,Manchester,232 Dock Approach,06/09/2025,NULL,in_transit,,57.33,economy
SH2510349,"0004325",Utrecht,Bilbao,24 Harbour Rd,14/01/2025,21/01/2025,delivered,,56.13,standard
SH2510350,"0004051",Lyon,Aarhus,163 Dock Approach,08/03/2025,08/11/2025,in_transit,NULL,65.87,express_am
SH2510351,"0005350",Antwerp,Turin,22 Kingsway,01/11/2025,19/11/2025,delivered,-,83.95,express
SH2510352,"0004369",Hamburg,Hamburg,127 Dock Approach,13/04/2025,16/02/2025,failed,address_incorrect,44.29,express
SH2510353,"0004768",Utrecht,Aarhus,207 Kingsway,10/03/2025,06/01/2025,returned,nan,77.43,economy
SH2510354,"0004991",Rotterdam,Marseille,134 Mill Lane,07/02/2025,01/10/2025,in_transit,nan,68.99,economy
SH2510355,"0004444",Rotterdam,Utrecht,36 Station Rd,24/02/2025,05/12/2025,failed,recipient_absent,86.29,economy
SH2510356,"0005015",Dublin,Manchester,237 Station Rd,06/05/2025,22/04/2025,returned,N/A,87.07,economy
SH2510357,"0004421",Malmo,Dublin,227 Elm Grove,20/07/2025,09/12/2025,in_transit,,55.16,economy
SH2510358,"0005295",Hamburg,Aarhus,43 Main St,09/09/2025,14/10/2025,returned,nan,NULL,economy
SH2510359,"0004380",Leeds,Porto,19 Station Rd,12/11/2025,05/06/2025,delivered,,N/A,express
SH2510360,"0004658",Porto,Hamburg,99 Mill Lane,07/10/2025,07/09/2025,delivered,nan,85.66,standard
SH2510361,"0005323",Dublin,Dublin,82 Dock Approach,07/04/2025,26/01/2025,delivered,N/A,38.41,express
SH2510362,"0005210",Manchester,Porto,148 Main St,01/05/2025,26/11/2025,delivered,-,26.09,nan
SH2510363,"0005080",Antwerp,Utrecht,166 Main St,16/02/2025,27/02/2025,returned,N/A,25.22,express_am
SH2510364,"0004641",Malmo,Antwerp,101 Mill Lane,15/12/2025,28/08/2025,delivered,N/A,84.89,express
SH2510365,"0004021",Lyon,Bremen,83 Bridge St,06/04/2025,07/02/2025,delivered,nan,89.56,standard
SH2510366,"0004088",Bremen,Antwerp,78 Harbour Rd,11/05/2025,20/12/2025,failed,damaged_in_transit,63.38,express_am
SH2510367,"0004653",Lyon,Dublin,164 Elm Grove,04/11/2025,17/09/2025,failed,customs_hold,88.37,express_am
SH2510368,"0004540",Gdansk,Hamburg,91 Station Rd,21/11/2025,28/12/2025,delivered,,87.96,standard
SH2510369,"0004958",Manchester,Bilbao,125 Harbour Rd,07/06/2025,25/10/2025,delivered,N/A,64.27,standard
SH2510370,"0004448",Leeds,Manchester,116 Station Rd,07/07/2025,09/02/2025,returned,N/A,86.13,standard
SH2510371,"0004219",Bremen,Málaga,5 Elm Grove,09/03/2025,16/01/2025,failed,damaged_in_transit,24.40,standard
SH2510372,"0004434",Lyon,Manchester,129 Bridge St,11/09/2025,15/01/2025,delivered,,58.88,express_am
SH2510373,"0004387",Manchester,Marseille,153 Mill Lane,20/09/2025,17/08/2025,returned,,58.67,express
SH2510374,"0004073",Turin,Porto,17 Harbour Rd,08/05/2025,23/10/2025,failed,customs_hold,9.62,economy
SH2510375,"0004350",Bilbao,Leeds,164 Mill Lane,20/12/2025,NULL,in_transit,nan,43.41,express
SH2510376,"0005395",Hamburg,Marseille,48 Dock Approach,05/08/2025,22/01/2025,delivered,,16.48,standard
SH2510377,"0004019",Leeds,Malmo,150 Main St,28/08/2025,16/04/2025,delivered,nan,61.70,express
SH2510378,"0004342",Lyon,Bremen,26 Mill Lane,11/12/2025,16/08/2025,in_transit,N/A,60.21,N/A
SH2510379,"0004616",Utrecht,Malmo,29 Mill Lane,17/11/2025,-,delivered,NULL,nan,express_am
SH2510380,"0004182",Bilbao,Manchester,164 Harbour Rd,21/05/2025,18/11/2025,failed,site_access_denied,16.25,economy
SH2510381,"0004800",Dublin,Turin,80 Station Rd,19/01/2025,23/09/2025,in_transit,,39.51,economy
SH2510382,"0004017",Malmo,Lyon,120 Kingsway,10/09/2025,18/10/2025,delivered,-,26.44,standard
SH2510383,"0004445",Gdansk,Bremen,14 Elm Grove,01/05/2025,12/07/2025,delivered,,23.13,economy
SH2510384,"0005028",Lyon,Hamburg,183 Mill Lane,24/03/2025,14/04/2025,delivered,N/A,20.20,economy
SH2510385,"0005389",Manchester,Dublin,103 Harbour Rd,10/05/2025,10/10/2025,failed,damaged_in_transit,72.89,express
SH2510386,"0004852",Bilbao,Gdansk,79 Harbour Rd,19/05/2025,15/11/2025,failed,customs_hold,9.14,economy
SH2510387,"0005403",Leeds,Aarhus,91 Bridge St,14/08/2025,nan,delivered,-,8.46,economy
SH2510388,"0005188",Leeds,Lyon,159 Mill Lane,25/01/2025,05/07/2025,delivered,-,73.17,express_am
SH2510389,"0004173",Antwerp,Turin,213 Harbour Rd,20/06/2025,27/02/2025,failed,damaged_in_transit,78.29,standard
SH2510390,"0005057",Lyon,Malmo,35 Station Rd,21/11/2025,10/03/2025,returned,,73.01,express
SH2510391,"0004000",Lyon,Bremen,134 Harbour Rd,07/04/2025,nan,failed,customs_hold,5.51,express_am
SH2510392,"0004376",Porto,Turin,211 Elm Grove,20/11/2025,14/02/2025,delivered,NULL,13.25,express
SH2510393,"0005432",Bilbao,Malmo,123 Mill Lane,22/05/2025,19/02/2025,returned,N/A,35.71,standard
SH2510394,"0004870",Lyon,Rotterdam,73 Elm Grove,19/02/2025,01/07/2025,delivered,nan,40.50,economy
SH2510395,"0004958",Aarhus,Turin,3 Kingsway,17/06/2025,07/09/2025,returned,nan,35.66,express
SH2510396,"0005472",Utrecht,Aarhus,184 Kingsway,26/05/2025,10/11/2025,delivered,-,34.39,express
SH2510397,"0005038",Turin,Lyon,179 Dock Approach,19/10/2025,19/06/2025,failed,address_incorrect,4.54,express
SH2510398,"0005362",Bremen,Malmo,240 Elm Grove,25/06/2025,25/04/2025,returned,NULL,9.99,express_am
SH2510399,"0004860",Hamburg,Antwerp,157 Mill Lane,02/02/2025,03/12/2025,delivered,nan,NULL,economy
